Time,Latitude,Longitude,High Vegetation
1084752,45.58,55.99,0.0
1084752,45.58,56.09,0.0
1084752,45.58,56.19,0.0
1084752,45.58,56.29,0.0
1084752,45.58,56.39,0.0
1084752,45.58,56.49,0.0
1084752,45.58,56.59,0.0
1084752,45.58,56.69,0.0
1084752,45.58,56.79,0.0
1084752,45.58,56.89,0.0
1084752,45.58,56.99,0.0
1084752,45.58,57.09,0.0
1084752,45.58,57.19,0.0
1084752,45.58,57.29,0.0
1084752,45.58,57.39,0.0
1084752,45.58,57.49,0.0
1084752,45.58,57.59,0.0
1084752,45.58,57.69,0.0
1084752,45.58,57.79,0.0
1084752,45.58,57.89,0.0
1084752,45.58,57.99,0.0
1084752,45.58,58.09,0.0
1084752,45.58,58.19,0.0
1084752,45.58,58.29,0.0
1084752,45.58,58.39,0.0
1084752,45.58,58.49,0.0
1084752,45.58,58.59,0.0
1084752,45.58,58.69,0.0
1084752,45.58,58.79,0.0
1084752,45.58,58.89,0.0
1084752,45.58,58.99,0.0
1084752,45.58,59.09,0.0
1084752,45.58,59.19,0.0
1084752,45.58,59.29,0.0
1084752,45.58,59.39,0.0
1084752,45.58,59.49,0.0
1084752,45.58,59.59,0.0
1084752,45.58,59.69,0.0
1084752,45.58,59.79,0.0
1084752,45.58,59.89,0.0
1084752,45.58,59.99,0.0
1084752,45.58,60.09,0.0
1084752,45.58,60.19,0.0
1084752,45.58,60.29,0.0
1084752,45.58,60.39,0.0
1084752,45.58,60.49,0.0
1084752,45.58,60.59,0.0
1084752,45.58,60.69,0.0
1084752,45.58,60.79,0.0
1084752,45.58,60.89,0.0
1084752,45.58,60.99,0.0
1084752,45.58,61.09,0.0
1084752,45.58,61.19,0.0
1084752,45.58,61.29,0.0
1084752,45.58,61.39,0.0
1084752,45.58,61.49,0.30761348811738953
1084752,45.58,61.59,0.3836954379437172
1084752,45.58,61.69,1.8343635561294025
1084752,45.58,61.79,0.818939682583584
1084752,45.58,61.89,0.10302459808536346
1084752,45.58,61.99,0.0
